;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","AB_Plant_Air_Alarm","ON","Plant Air Alarm","5","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\BulkCitricCommFail","ON","Sys1 to Citric Fail","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\BulkJuiceCommFail","ON","Sys1 to BlkJuice Fail","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\CIPReturnPumpNotRunning","ON","CIP Rtn Pump Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\CitricAdditionValveFailure","ON","Citric Thinktop Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\CitricLowFlow","ON","Citric Low Flow Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\CitricPumpNotRunning","ON","Citric Pm Not Running","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\CitricTotalizerAlarm","ON","CitricTotalizer Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\EssenceLowFlow","ON","Ess Low Flow Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\EssencePumpNotRunning","ON","Ess Pm Not Running","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\EssenceTankLowLevel","ON","Essence Level  Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\EssenceTotalizerAlarm","ON","Ess Totalizer Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\EStop","ON","E-Stop Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\HFCSAdditionValveFailure","ON","HFCS Thinktop Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\HFCSLowFlow","ON","HFCS Low Flow Alarm","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\HFCSPumpNotRunning","ON","HFCS Pm Not Running","1","S","","","S","","","S","","","","","","N","","N"
"D","Alarm\HFCSTotalizerAlarm","ON","HFCSTotalizer Alarm","1","S","","","S","","","S","","","","","","N","","N"
