;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,PIDLoop6Sucrose,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,PIDLoopSucrose,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\CIP,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\DISCHARGE_HMI_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\DISCHARGE_LOGIC_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\Filtration,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\Filtration\Pop-UP,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\PID_LOOP_1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\PID_LOOP_2,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\PID_LOOP_3,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\PID_LOOP_5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\PIDLoop10,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\PIDLoop11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\Recipe,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\Security,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\SUPPLY_HMI_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\SUPPLY_LOGIC_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\Tanks,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\TK_23_01_01_HMI_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\TK_23_01_01_LOGIC_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\TK_23_02_01_HMI_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\TK_23_02_01_LOGIC_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\TK_23_03_01_HMI_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Sucrose\TK_23_03_01_LOGIC_BITS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Sucrose\A_03A_1600,FCV-23-01-01 TANK FILL/UV VENT CONTROL VALVE FOR TK-23-01-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FCV230101_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03A_1601,FCV-23-01-02 RECIRC/SPRAYBALL CONTROL VALVE FOR TK-23-01-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FCV230102_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03A_1602,FCV-23-02-01 TANK FILL/UV VENT CONTROL VALVE FOR TK-23-02-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FCV230201_AOI.HMI_Opened,A,,,,,,
